peak	mid	plus1
chr17	78655126	78655127
chr2	160572977	160572978
chr4	58163335	58163336
chr1	78641027	78641028
chr3	88458239	88458240
chr1	89999634	89999635
chr3	52130683	52130684
chr5	87159785	87159786
chr1	89999634	89999635
chr15	99628562	99628563
chr1	91506074	91506075
chr1	91506237	91506238
chrX	140401017	140401018
chr9	44307103	44307104
chr3	101743281	101743282
chrX	140401017	140401018
chr14	51711605	51711606
chr16	57391635	57391636
chr16	57391748	57391749
chr14	79927582	79927583
chr8	97699878	97699879
chr2	173901730	173901731
chr2	173901730	173901731
chr10	45093322	45093323
chr19	9018714	9018715
chr4	126168413	126168414
chr8	129549456	129549457
chr6	76927942	76927943
chr1	92080342	92080343
chr3	10277579	10277580
chr18	47529528	47529529
chr10	127184557	127184558
chr4	63117595	63117596
chr4	63120747	63120748
chr9	111053664	111053665
chr8	129127362	129127363
chr3	108226998	108226999
chr3	60421600	60421601
chr3	60421744	60421745
chr12	114119343	114119344
chr4	98327543	98327544
chr9	110183808	110183809
chr18	50224778	50224779
chr2	31019531	31019532
chr10	94183365	94183366
chr10	60613588	60613589
chr14	51711605	51711606
chr4	95598334	95598335
chr6	67253361	67253362
chr10	79808095	79808096
chr15	101063407	101063408
chr11	21483462	21483463
chr3	96066220	96066221
chr10	41613298	41613299
chr18	42207995	42207996
chr10	127058840	127058841
chr2	65385479	65385480
chr3	27907564	27907565
chr1	182489776	182489777
chr16	96224521	96224522
chr3	69758259	69758260
chr16	94427408	94427409
chr8	24206095	24206096
chr1	163837980	163837981
chr4	45434915	45434916
chr7	147156352	147156353
chr11	34495361	34495362
chr1	89999634	89999635
chr13	120276594	120276595
chr8	73173598	73173599
chr8	73183558	73183559
chr13	91318240	91318241
chr17	56447632	56447633
chr4	116862731	116862732
chr15	84022595	84022596
chr6	83071812	83071813
chr6	83093011	83093012
chr6	47601314	47601315
chr1	78641027	78641028
chr4	53453177	53453178
chr4	155164911	155164912
chr11	114563829	114563830
chr7	16562058	16562059
chr7	147156352	147156353
chr16	62799541	62799542
chr15	77629316	77629317
chr15	77661605	77661606
chr8	23921280	23921281
chr2	146397541	146397542
chr2	102288220	102288221
chr1	158845321	158845322
chr4	65265851	65265852
chr4	65266046	65266047
chr4	135129138	135129139
chr7	30227710	30227711
chr7	30256558	30256559
chr4	65265851	65265852
chr4	65266046	65266047
